same_format_id,content_type,file_name,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10
1,header,2010-Q4-cabi-trip-history-data,,Duration,Start date,End date,Start station,End station,Bike#,Member Type,,
1,data,2010-Q4-cabi-trip-history-data,,14h 26min. 2sec.,12/31/2010 23:49,1/1/2011 14:15,10th & U St NW (31111),10th & U St NW (31111),W00771,Casual,,
1,header,2011-Q1-cabi-trip-history-data,,Duration,Start date,End date,Start station,End station,Bike#,Member Type,,
1,data,2011-Q1-cabi-trip-history-data,,0h 1min. 50sec.,3/31/2011 23:58,4/1/2011 0:00,14th & Harvard St NW (31105),16th & Harvard St NW (31103),W00749,Registered,,
1,header,2011-Q2-cabi-trip-history-data,,Duration,Start date,End date,Start station,End station,Bike#,Member Type,,
1,data,2011-Q2-cabi-trip-history-data,,0h 10min. 4sec.,6/30/2011 23:59,7/1/2011 0:09,11th & Kenyon St NW (31102),Calvert St & Woodley Pl NW (31106),W00494,Registered,,
1,header,2011-Q3-cabi-trip-history-data,,Duration,Start date,End date,Start station,End station,Bike#,Member Type,,
1,data,2011-Q3-cabi-trip-history-data,,0h 15min. 29sec.,9/30/2011 23:59,10/1/2011 0:15,7th & F St NW / National Portrait Gallery (31232),Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613),W00816,Registered,,
1,header,2011-Q4-cabi-trip-history-data,,Duration,Start date,End date,Start station,End station,Bike#,Member Type,,
1,data,2011-Q4-cabi-trip-history-data,,0h 7min. 48sec.,12/31/2011 23:55,1/1/2012 0:03,18th & M St NW (31221),10th & U St NW (31111),W01319,Registered,,
1,header,2012-Q1-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Type,,
1,data,2012-Q1-cabi-trip-history-data,,0h 7m 55sec.,1/1/2012 0:04,1/1/2012 0:11,7th & R St NW / Shaw Library,7th & T St NW,W01412,Registered,,
1,header,2012-Q2-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Bike Key,,
1,data,2012-Q2-cabi-trip-history-data,,0h 16m 18s,4/1/2012 0:01,4/1/2012 0:18,C & O Canal & Wisconsin Ave NW,8th & H St NW,W00574,Registered,,
1,header,2012-Q3-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscriber Type,,
1,data,2012-Q3-cabi-trip-history-data,,0h 7m 10s,9/30/2012 23:58,10/1/2012 0:05,10th & U St NW,17th & Corcoran St NW,W00630,Registered,,
1,header,2012-Q4-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscription Type,,
1,data,2012-Q4-cabi-trip-history-data,,0h 7m 28s,12/31/2012 23:58,1/1/2013 0:05,Eastern Market Metro / Pennsylvania Ave & 7th St SE,14th & D St SE,W01301,Subscriber,,
1,header,2013-Q1-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscription Type,,
1,data,2013-Q1-cabi-trip-history-data,,0h 4m 58s,3/31/2013 23:59,4/1/2013 0:04,Massachusetts Ave & Dupont Circle NW,New Hampshire Ave & T St NW [formerly 16th & U St NW],W00347,Casual,,
1,header,2013-Q2-cabi-trip-history-data,,Duration,Start time,End date,Start Station,End Station,Bike#,Subscription Type,,
1,data,2013-Q2-cabi-trip-history-data,,0h 4m 13s,6/30/2013 23:59,7/1/2013 0:03,14th St & Spring Rd NW,14th & Harvard St NW,W20490,Subscriber,,
1,header,2013-Q3-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscription Type,,
1,data,2013-Q3-cabi-trip-history-data,,0h 9m 13s,7/1/2013 0:00,7/1/2013 0:10,Florida Ave & R St NW,M St & Delaware Ave NE,W20848,Subscriber,,
2,header,2013-Q4-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscription Type,,
2,data,2013-Q4-cabi-trip-history-data,,0h 7m 54s,12/31/2013 23:58,1/1/2014 0:06,New York Ave & 15th St NW,23rd & E St NW ,W01407,Subscriber,,
2,header,2014-Q1-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Member Type,,
2,data,2014-Q1-cabi-trip-history-data,,0h 28m 36s,1/1/2014 0:06,1/1/2014 0:34,11th & Kenyon St NW,15th & F St NE,W01363,Registered,,
2,header,2014-Q2-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscriber Type,,
2,data,2014-Q2-cabi-trip-history-data,,0h 13m 8s,6/30/2014 23:59,7/1/2014 0:12,15th & K St NW,Columbus Circle / Union Station,W21070,Registered,,
2,header,2014-Q3-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscription Type,,
2,data,2014-Q3-cabi-trip-history-data,,0h 5m 56s,7/1/2014 0:01,7/1/2014 0:07,Takoma Metro,Maple & Ritchie Ave,W20813,Registered,,
2,header,2014-Q4-cabi-trip-history-data,,Duration,Start date,End date,Start Station,End Station,Bike#,Subscription Type,,
2,data,2014-Q4-cabi-trip-history-data,,0h 10m 35s,10/1/2014 0:00,10/1/2014 0:10,Wisconsin Ave & O St NW,17th & Corcoran St NW,W20503,Registered,,
3,header,2015-Q1-cabi-trip-history-data,Total duration (ms),,Start date,Start station,End date,End station,Bike number,Subscription Type,,
3,data,2015-Q1-cabi-trip-history-data,2394764,,1/1/2015 0:02,Constitution Ave & 2nd St NW/DOL,1/1/2015 0:42,15th & K St NW,W00612,Casual,,
3,header,2015-Q2-cabi-trip-history-data,Duration (ms),,Start date,Start station,End date,End station,Bike number,Subscription type,,
3,data,2015-Q2-cabi-trip-history-data,1761773,,6/30/2015 23:58,17th St & Massachusetts Ave NW,7/1/2015 0:27,USDA / 12th & Independence Ave SW,W21320,Casual,,
4,header,2015-Q3-cabi-trip-history-data,Duration (ms),,Start date,Start station,End date,End station,Bike #,Member type,Start station number,End station number
4,data,2015-Q3-cabi-trip-history-data,257866,,7/1/2015 0:00,California St & Florida Ave NW,7/1/2015 0:04,15th & Euclid St  NW,W21516,Registered,31116,31117
4,header,2015-Q4-cabi-trip-history-data,Duration (ms),,Start date,Start station,End date,End station,Bike #,Member type,Start station number,End station number
4,data,2015-Q4-cabi-trip-history-data,166050,,10/1/2015 0:01,Park Rd & Holmead Pl NW,10/1/2015 0:04,14th & Harvard St NW,W21109,Registered,31602,31105
4,header,2016-Q1-cabi-trip-history-data,Duration (ms),,Start date,Start station,End date,End station,Bike number,Member Type,Start station number,End station number
4,data,2016-Q1-cabi-trip-history-data,301295,,3/31/2016 23:59,11th & S St NW,4/1/2016 0:04,1st & Rhode Island Ave NW,W00022,Registered,31280,31506
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
